store_id,name,address_line_1,address_line_2,city,state,postal_code,phone
340037,AL037,571 Petersburg Rd,,Williamstown,MA, 01267,(413) 458-2211
340038,AL038,194 Onota St,,Pittsfield,MA, 01201,(413) 344-4348
340039,AL039,15 High St,,Pittsfield,MA, 01201,(413) 442-5359
340040,AL040,10 Barclay St,Ste 2,Albany,NY, 12209,(518) 487-4379
340041,AL041,21 Dawes Ave,Ste 4,Pittsfield,MA, 01201,(413) 443-4361
340042,AL042,66 Henderson Rd,,North Adams,MA, 01247,(413) 346-4576
340043,AL043,133 Sand Creek Rd,,Albany,NY, 12205,(518) 438-0242
340044,AL044,127 Delaware Ave,,Albany,NY, 12202,(518) 915-1613
340045,AL045,720 Albany St,,Schenectady,NY, 12307,(518) 346-4672
340046,AL046,32 Blackinton St,,North Adams,MA, 01247,(413) 346-4386
340047,AL047,80 State 40 Rte,,Troy,NY, 12182,(212) 210-9139
340048,AL048,26 Acorn St,,Pittsfield,MA, 01201,(413) 395-9616
340049,AL049,94 Broad St,,Albany,NY, 12202,(518) 465-0472
340050,AL050,1 Van Buren Ave,,Albany,NY, 12205,(518) 453-9655
